"id_claim","id_client","id_policy","claim_date","notification_date","closure_date","claim_type","severity","claimed_amount","approved_amount","paid_amount","claim_status","resolution_days"
1,92,74,2024-08-17,2024-08-25,2024-09-01,"theft","low",12237.63,12237.63,11127.3081431067,"closed",15
2,75,54,2024-01-28,2024-02-05,2024-03-30,"theft","high",1793.64,1793.64,0,"closed",62
3,44,7,2025-04-26,2025-05-03,2025-06-11,"theft","high",27271.65,27271.65,26627.0242426476,"closed",46
4,95,66,2025-08-29,2025-09-07,2025-09-22,"theft","low",13960.74,13960.74,13458.8148074396,"closed",24
5,15,29,2025-05-25,2025-05-28,2025-07-14,"fire","high",29640.01,29640.01,28305.4220122237,"in_process",50
6,18,76,2025-04-19,2025-04-27,2025-06-19,"liability","low",23444.52,23444.52,21027.7627037595,"under_investigation",61
7,12,98,2025-12-19,2025-12-19,2025-12-26,"liability","low",19393.12,19393.12,18518.9129691907,"closed",7
8,49,68,2024-03-16,2024-03-22,2024-04-07,"theft","medium",39188.74,39188.74,36691.530676999,"closed",22
9,86,33,2024-10-17,2024-10-17,2024-10-26,"other","medium",2569.97,2569.97,501.380206077555,"in_process",9
10,29,100,2024-10-01,2024-10-01,2024-10-02,"fire","high",8724.28,8724.28,7876.52423778243,"rejected",1
11,43,91,2025-12-06,2025-12-09,2026-02-01,"fire","low",11068.03,11068.03,8615.80448480791,"closed",57
12,77,75,2025-04-11,2025-04-18,2025-05-20,"other","medium",13168.67,13168.67,10734.4937697832,"under_investigation",39
13,22,60,2024-01-21,2024-01-30,2024-02-06,"theft","low",39262.8,39262.8,35410.4514471847,"closed",16
14,90,87,2025-04-09,2025-04-17,2025-04-29,"fire","low",25925.68,25925.68,25570.7179467774,"registered",20
15,83,17,2025-01-11,2025-01-19,2025-01-22,"fire","low",8835.7,8835.7,7431.57598987628,"closed",11
16,73,79,2025-12-07,2025-12-13,2026-02-09,"liability","low",32104.3,32104.3,30104.8874701042,"closed",64
17,61,2,2025-05-09,2025-05-09,2025-06-09,"other","medium",5736.77,5736.77,3569.68269469212,"closed",31
18,49,68,2025-10-16,2025-10-21,2025-10-31,"accident","medium",2443.47,2443.47,0,"registered",15
19,27,65,2025-08-01,2025-08-02,2025-09-19,"fire","high",14566.36,14566.36,13817.9156561477,"closed",49
20,17,55,2025-11-30,2025-12-03,2026-01-04,"fire","low",7230.6,7230.6,4735.64150705914,"rejected",35
21,99,58,2024-04-29,2024-05-06,2024-07-02,"theft","medium",22826.78,22826.78,21029.6438104651,"closed",64
22,49,68,2025-02-26,2025-03-04,2025-04-19,"accident","medium",14524.85,14524.85,10066.8554392599,"closed",52
23,22,84,2024-11-24,2024-12-01,2025-01-26,"fire","medium",19982.65,19982.65,16508.8519901994,"rejected",63
24,55,18,2025-11-03,2025-11-04,2025-12-18,"liability","high",18740.11,18740.11,17357.3815512938,"closed",45
25,89,36,2024-10-17,2024-10-20,2024-12-18,"accident","low",6409.07,6409.07,5053.74761694521,"closed",62
26,22,60,2025-06-24,2025-06-24,2025-07-09,"liability","low",25694.02,25694.02,23063.759338108,"closed",15
27,18,76,2025-09-05,2025-09-10,2025-09-21,"theft","high",37868.16,37868.16,35743.8369916754,"closed",16
28,43,91,2025-10-21,2025-10-29,2025-12-24,"liability","medium",44523.22,44523.22,40448.9232476259,"closed",64
29,57,21,2025-09-23,2025-10-02,2025-11-27,"liability","high",37681.44,37681.44,36597.1047965347,"closed",65
30,70,14,2024-06-06,2024-06-16,2024-06-27,"accident","high",32646.41,32646.41,31413.529791944,"closed",21
31,21,53,2025-12-27,2025-12-31,2026-01-17,"other","low",47115.01,47115.01,46858.6553138758,"closed",21
32,62,37,2024-12-14,2024-12-21,2024-12-22,"fire","low",24033.72,24033.72,23163.932644668,"closed",8
33,77,75,2024-11-21,2024-11-29,2025-01-26,"liability","medium",2505.55,2505.55,505.844745936703,"closed",66
34,90,87,2024-05-01,2024-05-11,2024-07-04,"accident","high",27539.98,27539.98,27188.7954211018,"closed",64
35,48,26,2024-06-16,2024-06-20,2024-08-10,"theft","low",48181.94,48181.94,47970.9477164669,"rejected",55
36,97,52,2025-06-20,2025-06-27,2025-07-28,"theft","medium",31079.18,31079.18,30103.0316369123,"closed",38
37,13,6,2025-05-12,2025-05-15,2025-06-11,"theft","low",8767.52,8767.52,5873.35995654513,"in_process",30
38,86,33,2025-12-18,2025-12-19,2026-01-07,"liability","high",27277.8,27277.8,24391.066049454,"closed",20
39,81,77,2025-02-19,2025-02-27,2025-04-25,"liability","high",23618.73,23618.73,21946.609762997,"in_process",65
40,17,55,2025-03-20,2025-03-27,2025-04-25,"fire","low",11560.28,11560.28,8789.36926773916,"registered",36
41,81,92,2025-05-13,2025-05-17,2025-06-05,"accident","low",21589.88,21589.88,17506.4015740326,"closed",23
42,17,19,2025-02-19,2025-02-23,2025-02-27,"theft","medium",17237.8,17237.8,14993.9951786269,"closed",8
43,12,98,2025-05-12,2025-05-17,2025-06-06,"other","medium",12620.32,12620.32,11117.2250651818,"closed",25
44,5,61,2024-12-29,2025-01-06,2025-01-30,"theft","low",8317.6,8317.6,4745.55187704867,"registered",32
45,11,49,2025-09-17,2025-09-23,2025-10-16,"fire","low",10167.61,10031.634,9332.42590806728,"closed",29
46,28,31,2024-07-22,2024-07-22,2024-09-20,"theft","low",20956.09,20956.09,19898.9155225519,"closed",60
47,86,33,2024-04-20,2024-04-26,2024-06-21,"fire","medium",46556.29,46556.29,42999.8548048355,"in_process",62
48,29,8,2025-12-04,2025-12-14,2026-02-07,"accident","high",25196.56,25196.56,24350.7536941124,"closed",65
49,47,32,2025-02-06,2025-02-11,2025-03-23,"fire","high",18210.64,18210.64,13960.4031895203,"closed",45
50,47,32,2024-10-30,2024-11-08,2024-11-09,"fire","medium",8425.6,8425.6,5186.92765157207,"under_investigation",10
51,10,80,2024-12-10,2024-12-15,2024-12-20,"theft","high",16150.53,16150.53,14455.3940553561,"in_process",10
52,55,18,2025-12-24,2026-01-02,2026-02-14,"theft","medium",18140.23,18140.23,16438.3858904916,"rejected",52
53,49,39,2024-06-24,2024-06-28,2024-08-09,"theft","medium",6743.6,6743.6,2824.06237403636,"registered",46
54,80,69,2024-03-25,2024-03-27,2024-05-05,"liability","high",10892.62,10892.62,9404.68658056275,"closed",41
55,100,86,2025-11-01,2025-11-07,2026-01-06,"liability","medium",3669.09,3669.09,593.010478707727,"under_investigation",66
56,77,75,2025-04-19,2025-04-20,2025-06-15,"other","low",28740.43,28740.43,26570.7264655056,"under_investigation",57
57,22,60,2025-04-22,2025-05-02,2025-06-01,"other","low",37986.16,37986.16,33382.9795762318,"registered",40
58,55,18,2024-03-18,2024-03-28,2024-05-07,"theft","low",13317.81,13317.81,11733.24072635,"rejected",50
59,39,64,2024-12-06,2024-12-12,2025-01-29,"accident","high",22338.07,22338.07,20889.8508032754,"closed",54
60,15,29,2025-09-13,2025-09-22,2025-10-22,"liability","medium",6503.27,6503.27,4666.98184798364,"closed",39
61,12,97,2024-01-26,2024-02-01,2024-03-02,"accident","medium",7548.01,7548.01,4181.97647817102,"in_process",36
62,78,1,2024-05-11,2024-05-14,2024-05-19,"fire","high",1328.24,1328.24,404.066828952255,"rejected",8
63,1,72,2024-01-16,2024-01-24,2024-02-17,"other","high",3874.51,3874.51,0,"in_process",32
64,88,78,2025-12-12,2025-12-19,2026-01-15,"theft","low",4380.76,4380.76,3436.08852586585,"closed",34
65,99,58,2024-12-15,2024-12-22,2025-01-24,"accident","medium",39785.62,39785.62,37866.4260030909,"closed",40
66,89,22,2025-07-24,2025-08-01,2025-09-02,"other","low",3476.15,3476.15,2368.00124147914,"closed",40
67,25,93,2024-12-23,2024-12-28,2025-02-26,"theft","medium",38669.2,38669.2,36752.1491146321,"in_process",65
68,87,10,2024-10-05,2024-10-14,2024-12-04,"fire","high",41860.21,40610.853,37856.5549125784,"rejected",60
69,17,42,2024-04-11,2024-04-15,2024-05-13,"other","medium",8447.51,8447.51,6785.51359506806,"closed",32
70,99,58,2024-11-12,2024-11-15,2025-01-12,"other","high",47981.7,47981.7,45167.5574234435,"rejected",61
71,86,33,2025-02-03,2025-02-11,2025-03-04,"theft","high",40073.42,40073.42,37186.1062669633,"closed",29
72,57,21,2024-03-08,2024-03-15,2024-05-07,"theft","low",36278.37,36278.37,35436.7094459075,"rejected",60
73,3,24,2024-04-04,2024-04-08,2024-05-03,"theft","low",28833.84,28833.84,24230.9123119181,"closed",29
74,55,9,2024-09-26,2024-10-05,2024-11-30,"fire","high",876.1,876.1,641.018226379197,"closed",65
75,83,17,2025-02-14,2025-02-22,2025-04-15,"fire","low",23657.89,23657.89,22202.137604119,"registered",60
76,17,15,2025-12-26,2025-12-27,2026-01-05,"fire","medium",20741.31,20741.31,17711.9139476799,"registered",10
77,18,76,2024-07-19,2024-07-29,2024-08-18,"theft","high",44406.34,44406.34,42464.6264632073,"under_investigation",30
78,92,74,2025-09-23,2025-10-01,2025-10-09,"liability","high",3268.65,3268.65,2215.5396498237,"in_process",16
79,48,34,2024-05-16,2024-05-23,2024-07-06,"fire","medium",46200.14,46200.14,45600.3358236358,"rejected",51
80,15,29,2024-04-23,2024-04-30,2024-06-26,"fire","low",39922.04,39922.04,38900.2498691077,"rejected",64
81,47,45,2025-11-03,2025-11-07,2025-12-03,"fire","high",2635.26,2635.26,581.434982433306,"rejected",30
82,12,28,2024-06-30,2024-07-09,2024-08-29,"other","high",16514.01,16514.01,15037.9214495367,"closed",60
83,83,17,2025-02-12,2025-02-14,2025-02-16,"other","medium",22820.14,22820.14,20494.7325337958,"closed",4
84,12,97,2025-03-31,2025-04-09,2025-06-05,"accident","high",28243.66,28243.66,25315.1002030582,"registered",66
85,89,22,2025-12-20,2025-12-22,2026-02-02,"accident","low",4839.59,4839.59,2901.17139208737,"closed",44
86,17,42,2025-08-24,2025-08-31,2025-09-01,"other","medium",11217.21,11217.21,9435.65648191242,"closed",8
87,100,86,2024-02-26,2024-03-01,2024-04-03,"other","low",4859.52,4859.52,1782.46990132945,"in_process",37
88,97,52,2025-10-18,2025-10-20,2025-11-02,"liability","medium",26339.99,26339.99,25258.0715859641,"closed",15
89,89,22,2024-01-17,2024-01-17,2024-03-09,"theft","high",47640.01,47640.01,46421.8266711312,"registered",52
90,26,94,2024-03-25,2024-03-30,2024-05-24,"other","medium",27097.29,27097.29,25550.6021800872,"closed",60
91,99,58,2025-08-31,2025-09-07,2025-09-26,"liability","high",23985.65,23985.65,22192.973360304,"under_investigation",26
92,98,20,2024-02-20,2024-02-23,2024-03-29,"liability","high",27083.24,27083.24,25735.7584461531,"under_investigation",38
93,13,4,2024-12-31,2025-01-03,2025-01-06,"theft","high",21559.97,21559.97,18596.7450952544,"closed",6
94,12,97,2025-04-21,2025-04-25,2025-05-30,"accident","low",38257.72,38257.72,34691.7962056253,"under_investigation",39
95,95,66,2025-07-08,2025-07-11,2025-08-25,"other","medium",14456.26,14456.26,13940.4485431165,"under_investigation",48
96,26,94,2025-10-09,2025-10-14,2025-11-09,"fire","high",13937.57,13937.57,12728.1524899487,"closed",31
97,21,83,2024-09-28,2024-10-03,2024-11-10,"accident","medium",3483.75,3483.75,1919.40950596911,"closed",43
98,9,27,2025-08-20,2025-08-25,2025-09-16,"other","high",14120.01,14120.01,12945.4019750754,"in_process",27
99,44,7,2024-06-28,2024-07-07,2024-07-18,"theft","medium",41067.04,41067.04,40364.220870552,"in_process",20
100,49,68,2024-09-20,2024-09-22,2024-10-24,"other","high",2045.69,2045.69,0,"under_investigation",34
