"id_client","gender","age_group","income_level","occupations"
1,"female","41-50","medium","professional"
2,"female","20-30","high","retired"
3,"female","20-30","low","professional"
4,"male","61-70","low","retired"
5,"other","41-50","low","retired"
6,"female","61-70","high","professional"
7,"other","71-80","low","retired"
8,"other","51-60","low","retired"
9,"other","71-80","high","technical"
10,"male","61-70","low","technical"
11,"other","41-50","medium","retired"
12,"other","71-80","high","worker"
13,"male","41-50","low","technical"
14,"male","20-30","low","technical"
15,"female","41-50","medium","retired"
16,"female","61-70","high","unemployed"
17,"other","31-40","high","unemployed"
18,"female","20-30","medium","technical"
19,"male","71-80","medium","professional"
20,"female","71-80","medium","unemployed"
21,"male","51-60","low","other"
22,"male","61-70","high","worker"
23,"female","71-80","medium","other"
24,"male","51-60","high","worker"
25,"male","31-40","high","professional"
26,"female","31-40","medium","technical"
27,"other","31-40","medium","worker"
28,"female","61-70","high","professional"
29,"other","31-40","medium","worker"
30,"other","31-40","low","retired"
31,"other","61-70","medium","professional"
32,"female","31-40","high","worker"
33,"female","20-30","medium","technical"
34,"female","20-30","low","retired"
35,"female","61-70","low","unemployed"
36,"other","51-60","high","other"
37,"female","20-30","medium","worker"
38,"female","51-60","low","professional"
39,"female","71-80","low","technical"
40,"male","51-60","medium","retired"
41,"female","20-30","medium","unemployed"
42,"other","20-30","low","worker"
43,"male","71-80","medium","worker"
44,"female","20-30","low","unemployed"
45,"female","41-50","high","professional"
46,"female","71-80","low","technical"
47,"female","51-60","high","other"
48,"male","20-30","low","retired"
49,"male","20-30","medium","professional"
50,"other","71-80","medium","unemployed"
51,"female","51-60","medium","worker"
52,"male","71-80","low","other"
53,"male","31-40","high","professional"
54,"male","20-30","high","worker"
55,"female","41-50","high","other"
56,"male","31-40","high","retired"
57,"female","20-30","high","worker"
58,"other","20-30","low","technical"
59,"female","41-50","high","unemployed"
60,"other","71-80","low","worker"
61,"female","20-30","medium","retired"
62,"male","41-50","medium","technical"
63,"female","71-80","low","unemployed"
64,"male","71-80","high","retired"
65,"other","31-40","low","technical"
66,"other","41-50","low","retired"
67,"female","20-30","low","unemployed"
68,"male","71-80","low","other"
69,"female","51-60","medium","technical"
70,"male","71-80","high","retired"
71,"female","20-30","low","other"
72,"female","20-30","medium","worker"
73,"female","51-60","medium","other"
74,"female","20-30","low","other"
75,"female","51-60","low","unemployed"
76,"female","41-50","high","worker"
77,"male","31-40","low","other"
78,"female","41-50","medium","technical"
79,"male","41-50","low","retired"
80,"female","31-40","low","retired"
81,"other","61-70","medium","professional"
82,"other","51-60","low","professional"
83,"female","51-60","medium","retired"
84,"male","51-60","medium","unemployed"
85,"female","71-80","high","professional"
86,"male","71-80","low","technical"
87,"other","20-30","low","technical"
88,"male","41-50","high","professional"
89,"female","51-60","low","unemployed"
90,"male","41-50","low","worker"
91,"male","51-60","low","retired"
92,"female","71-80","low","technical"
93,"male","71-80","medium","retired"
94,"other","61-70","high","unemployed"
95,"male","71-80","high","worker"
96,"female","71-80","high","retired"
97,"other","31-40","high","worker"
98,"other","41-50","low","other"
99,"female","51-60","low","professional"
100,"male","20-30","high","technical"
