"id_payment","id_policy","payment_date","payment_amount","payment_method","payment_status","days_overdue"
1,97,2025-11-03,74.78,"card","overdue",57.735533697997
2,64,2024-08-29,156.17,"cash","pending",0
3,19,2024-02-23,50.3,"cash","overdue",676.235653709154
4,81,2025-08-11,39.9,"card","overdue",141.787385868375
5,84,2025-06-05,46.58,"card","paid",0
6,14,2025-01-07,110.7,"bank_transfer","paid",0
7,60,2025-09-01,128.26,"bank_transfer","paid",0
8,40,2024-03-15,176.18,"card","overdue",655.254974078853
9,72,2024-01-03,115.31,"cash","paid",0
10,6,2024-10-12,72.42,"card","paid",0
11,90,2024-06-14,141.98,"card","paid",0
12,3,2025-04-11,103.27,"card","paid",0
13,51,2025-05-22,60.62,"card","paid",0
14,64,2025-03-14,191.05,"cash","rejected",0
15,47,2025-10-28,162.46,"bank_transfer","paid",0
16,73,2024-08-16,149.34,"cash","paid",0
17,24,2025-12-05,216.36,"bank_transfer","paid",0
18,81,2024-01-21,44.79,"card","paid",0
19,73,2024-02-29,136.75,"bank_transfer","paid",0
20,11,2025-07-22,154.58,"debit","paid",0
21,56,2025-05-26,101.64,"debit","paid",0
22,81,2024-09-21,42.07,"card","rejected",0
23,63,2025-06-08,31.33,"bank_transfer","paid",0
24,37,2025-08-29,52.84,"cash","paid",0
25,84,2025-11-13,39.83,"bank_transfer","pending",0
26,96,2024-12-12,173.39,"cash","pending",0
27,60,2024-03-18,138.26,"cash","pending",0
28,21,2024-05-25,77.67,"debit","overdue",584.465292149688
29,70,2024-02-12,116.87,"debit","rejected",0
30,19,2025-02-15,41.26,"card","pending",0
31,49,2025-12-27,55.73,"card","overdue",3.50969556951964
32,99,2025-06-25,83.32,"debit","paid",0
33,72,2025-11-29,115.46,"debit","paid",0
34,100,2025-12-11,67.56,"cash","paid",0
35,90,2024-02-16,120.07,"card","overdue",683.440986697097
36,50,2024-01-16,28.84,"card","paid",0
37,91,2025-02-17,76.57,"debit","overdue",316.352834946011
38,8,2024-08-25,78.32,"bank_transfer","paid",0
39,88,2024-07-24,30.46,"debit","rejected",0
40,63,2024-05-17,37.5,"debit","paid",0
41,53,2025-11-28,137.01,"cash","paid",0
42,70,2025-07-26,98.87,"card","paid",0
43,81,2024-12-11,42.67,"bank_transfer","overdue",384.321396711747
44,60,2025-02-23,139.49,"card","overdue",310.381028468256
45,72,2025-01-20,131.47,"bank_transfer","paid",0
46,73,2024-12-31,131.53,"card","paid",0
47,71,2025-04-02,170.88,"bank_transfer","overdue",272.335853797849
48,70,2024-10-29,139.02,"debit","paid",0
49,25,2024-10-05,76.32,"bank_transfer","paid",0
50,87,2024-06-10,107.18,"debit","paid",0
51,15,2025-12-05,98,"cash","pending",0
52,94,2025-04-03,76.2,"card","paid",0
53,83,2025-06-18,63.54,"cash","paid",0
54,83,2025-12-08,62.23,"bank_transfer","paid",0
55,93,2025-03-30,141.51,"card","paid",0
56,32,2024-03-27,122.89,"bank_transfer","paid",0
57,50,2025-08-08,20.69,"cash","paid",0
58,29,2024-06-24,144.83,"debit","paid",0
59,13,2024-03-06,59.8,"card","paid",0
60,87,2024-06-14,120.09,"card","paid",0
61,50,2025-06-27,29.71,"cash","paid",0
62,38,2024-05-28,134.82,"card","paid",0
63,47,2025-09-05,171.3,"cash","paid",0
64,99,2025-10-14,81.1,"card","paid",0
65,95,2024-04-02,237.5,"card","paid",0
66,70,2025-09-22,138.1,"debit","paid",0
67,16,2024-06-12,173.75,"cash","paid",0
68,23,2025-06-19,69.14,"debit","paid",0
69,52,2024-08-26,87.94,"card","pending",0
70,49,2025-09-19,50.18,"cash","paid",0
71,15,2024-11-29,120.63,"cash","overdue",396.591875562444
72,2,2024-06-25,40.09,"debit","paid",0
73,71,2024-09-14,182.14,"debit","rejected",0
74,71,2024-02-29,192.06,"debit","paid",0
75,34,2025-02-16,64.62,"cash","paid",0
76,90,2025-10-15,121.51,"card","paid",0
77,77,2024-07-25,203.7,"bank_transfer","paid",0
78,71,2024-03-22,224.54,"debit","paid",0
79,70,2025-06-05,139.36,"bank_transfer","paid",0
80,88,2025-09-15,33.17,"bank_transfer","paid",0
81,15,2024-04-03,95.74,"cash","paid",0
82,72,2025-11-28,117.88,"debit","paid",0
83,38,2024-12-06,115.57,"cash","paid",0
84,50,2025-03-06,20.78,"cash","overdue",299.436675335746
85,94,2025-08-24,54.64,"debit","paid",0
86,96,2024-01-29,206.5,"cash","paid",0
87,92,2025-04-18,92.02,"debit","overdue",256.455659607892
88,73,2025-03-29,161.95,"bank_transfer","paid",0
89,14,2025-04-29,86.37,"debit","pending",0
90,77,2025-04-07,201.91,"debit","overdue",267.075085991527
91,43,2025-12-19,19.67,"card","paid",0
92,35,2024-07-04,155.48,"card","paid",0
93,38,2024-03-26,102.73,"debit","paid",0
94,37,2024-03-23,52.35,"card","paid",0
95,87,2024-06-04,126.99,"card","rejected",0
96,40,2024-06-30,145.47,"bank_transfer","paid",0
97,2,2025-10-20,48.9,"card","rejected",0
98,90,2024-03-31,112.55,"bank_transfer","pending",0
99,36,2024-12-01,171.99,"cash","paid",0
100,37,2024-02-29,57.6,"bank_transfer","pending",0
