"id_policy","type_insurance","modality","id_client","issue_date","start_date","end_date","policy_status","premium_monthly","premium_annual","insured_amount","deductible"
1,"home","quarterly",78,2023-01-02,2023-01-03,2025-01-02,"canceled",64.81,777.72,28606.74,1147.66
2,"auto","quarterly",61,2023-01-02,2023-01-03,2025-01-02,"active",43.46,521.52,68739.57,2222.7
3,"auto","annual",2,2025-09-16,2025-09-17,2028-09-16,"suspended",120.75,1449,10684.42,2145.27
4,"home","quarterly",13,2023-10-20,2023-10-21,2025-10-20,"active",133.29,1599.48,73830.4,3295.91
5,"health","monthly",47,2025-06-21,2025-06-22,2028-06-21,"active",90.24,1082.88,33034.12,4407.73
6,"auto","monthly",13,2023-02-05,2023-02-06,2026-02-05,"active",64.62,775.44,72400.95,4582.28
7,"health","annual",44,2024-10-14,2024-10-15,2026-10-15,"active",34.74,416.88,63819.79,1174.99
8,"home","annual",29,2024-12-17,2024-12-18,2029-12-17,"renewed",85.46,1025.52,89659.08,996.95
9,"life","quarterly",55,2025-12-17,2025-12-18,2027-12-18,"suspended",138.83,1665.96,7574.33,373.19
10,"life","monthly",87,2023-11-05,2023-11-06,2025-11-05,"active",115.19,1382.28,45123.17,4669.71
11,"life","monthly",61,2024-05-28,2024-05-29,2029-05-28,"active",177.03,2124.36,89150.2,3773.06
12,"health","quarterly",89,2024-09-12,2024-09-13,2029-09-12,"renewed",142.56,1710.72,90800.07,4453.52
13,"health","monthly",38,2025-08-05,2025-08-06,2027-08-06,"active",71.1,853.2,30208.94,4870.56
14,"life","quarterly",70,2023-01-13,2023-01-14,2025-01-13,"active",104.42,1253.04,84644.87,2353.84
15,"life","monthly",17,2024-12-11,2024-12-12,2029-12-11,"active",104.2,1250.4,35494.42,3316.32
16,"auto","annual",12,2024-02-22,2024-02-23,2027-02-22,"renewed",162.33,1947.96,44869.59,566.23
17,"home","quarterly",83,2025-06-22,2025-06-23,2030-06-22,"renewed",192.46,2309.52,30727.54,2489.92
18,"life","quarterly",55,2024-01-02,2024-01-03,2026-01-02,"active",109.56,1314.72,27081.08,2357.39
19,"auto","annual",17,2023-11-24,2023-11-25,2026-11-24,"active",51.38,616.56,23822.79,2551.7
20,"home","annual",98,2024-09-07,2024-09-08,2027-09-08,"active",44.8,537.6,48865.48,1648.99
